frame,total_ms,raster_ms,other_ms,flushes,tris,binned
540,34.050,28.308,5.742,2,1320,11294
541,33.921,28.277,5.644,2,1320,11294
542,34.105,28.216,5.889,2,1320,11298
543,34.125,28.372,5.753,2,1320,11298
544,33.615,28.007,5.608,2,1320,11304
545,33.587,28.025,5.562,2,1312,11286
546,33.496,27.892,5.604,2,1312,11286
547,33.510,27.815,5.695,2,1312,11282
548,33.648,28.032,5.616,2,1312,11308
549,33.833,28.202,5.631,2,1312,11312
550,33.483,27.869,5.614,2,1312,11324
551,33.523,27.927,5.596,2,1312,11316
552,35.230,29.533,5.697,2,1312,11320
553,34.282,28.623,5.660,2,1312,11324
554,34.241,28.430,5.811,2,1312,11324
555,33.643,27.985,5.658,2,1312,11316
556,33.397,27.816,5.581,2,1312,11328
557,33.637,28.034,5.604,2,1312,11320
558,33.424,27.863,5.561,2,1312,11336
559,33.662,28.099,5.563,2,1312,11328
560,33.525,27.820,5.705,2,1312,11332
561,33.370,27.788,5.582,2,1312,11332
562,33.658,27.921,5.737,2,1312,11336
563,35.065,29.265,5.800,2,1312,11332
564,36.464,30.813,5.651,2,1312,11312
565,35.917,30.283,5.634,2,1312,11300
566,35.836,30.244,5.592,2,1312,11300
567,33.739,27.894,5.844,2,1312,11300
568,33.775,28.182,5.593,2,1312,11280
569,34.355,28.690,5.665,2,1312,11284
570,33.788,28.144,5.645,2,1312,11268
571,33.699,28.130,5.570,2,1312,11264
572,33.765,27.812,5.953,2,1312,11264
573,33.516,27.921,5.594,2,1312,11268
574,33.626,28.007,5.619,2,1312,11296
575,33.345,27.748,5.597,2,1312,11276
576,33.375,27.781,5.594,2,1312,11280
577,33.291,27.691,5.600,2,1312,11272
578,33.431,27.835,5.596,2,1312,11300
579,33.503,27.869,5.633,2,1312,11280
580,33.301,27.708,5.594,2,1312,11308
581,34.198,28.564,5.634,2,1312,11324
582,34.744,29.091,5.653,2,1312,11316
583,32.853,27.067,5.786,2,1318,11180
584,33.611,27.704,5.907,2,1318,11240
585,32.656,26.832,5.824,2,1318,11228
586,33.696,27.357,6.339,2,1318,11232
587,32.510,26.936,5.575,2,1318,11216
588,32.805,27.252,5.553,2,1318,11260
589,32.908,27.342,5.566,2,1318,11248
